,data points,Water flow,Weekday
0,24,956.0,4
1,24,865.0,5
2,24,848.0,6
3,24,457.0,7
4,24,378.0,1
5,24,722.0,2
6,24,674.0,3
7,24,661.0,4
8,24,809.0,5
9,24,993.0,6
10,24,576.0,7
11,24,721.0,1
12,24,836.0,2
13,24,910.0,3
14,24,874.0,4
15,24,840.0,5
16,24,641.0,6
17,24,351.0,7
18,24,427.0,1
19,24,682.0,2
20,24,964.0,3
21,24,925.0,4
22,24,929.0,5
23,24,1011.0,6
24,24,589.0,7
25,24,595.0,1
26,24,1035.0,2
27,24,1081.0,3
28,24,974.0,4
29,24,1092.0,5
30,24,1112.5,6
31,24,716.0,7
32,24,548.0,1
33,24,1009.0,2
34,24,1419.0,3
35,24,1134.0,4
36,24,1186.0,5
37,24,1211.0,6
38,24,1406.0,7
39,24,1471.0,1
40,24,1116.0,2
41,24,580.0,3
42,24,1428.0,4
43,24,1148.0,5
44,24,1461.0,6
45,24,794.0,7
46,24,1001.0,1
47,24,1251.0,2
48,24,1283.0,3
49,24,1076.0,4
50,24,1229.0,5
51,24,1048.0,6
52,24,805.0,7
53,24,888.0,1
54,24,1415.0,2
55,24,1616.0,3
56,24,1480.0,4
57,24,1522.0,5
58,24,1161.5,6
59,24,803.0,7
60,24,971.0,1
61,24,1446.0,2
62,24,1543.0,3
63,24,1598.0,4
64,24,1569.0,5
65,24,1405.0,6
66,24,859.0,7
67,24,896.0,1
68,24,1415.0,2
69,24,1230.0,3
70,24,1367.0,4
71,24,1118.0,5
72,24,823.0,6
73,24,718.0,7
74,24,749.0,1
75,24,1421.0,2
76,24,1594.5,3
77,24,1688.0,4
78,24,1525.0,5
79,24,1434.0,6
80,24,1033.0,7
81,24,1079.0,1
82,24,1376.0,2
83,24,1624.0,3
84,24,1552.0,4
85,24,1517.0,5
86,24,1290.0,6
87,24,860.0,7
88,24,786.0,1
89,24,1283.0,2
90,24,1542.0,3
91,24,1354.0,4
92,24,1639.0,5
93,24,1250.0,6
94,24,858.0,7
95,24,889.0,1
96,24,1300.0,2
97,24,1540.0,3
98,24,1317.0,4
99,24,1402.0,5
100,24,1197.0,6
101,24,1517.0,7
102,24,1730.0,1
103,24,2334.0,2
104,24,1759.0,3
105,24,1377.0,4
106,24,1463.0,5
107,24,846.0,6
108,24,648.0,7
109,24,701.0,1
110,24,1455.0,2
111,24,1511.0,3
112,24,1617.0,4
113,24,1748.0,5
114,24,1496.0,6
115,24,1089.0,7
116,24,1184.0,1
117,24,1720.0,2
118,24,1785.0,3
119,24,1798.0,4
120,24,1787.0,5
121,24,1547.0,6
122,24,1228.0,7
