,data points,Water flow,Weekday
0,24,14610.0,4
1,24,10290.0,5
2,24,12176.0,6
3,24,8809.0,7
4,24,8993.0,1
5,24,12892.0,2
6,24,12313.0,3
7,24,12413.0,4
8,24,12420.0,5
9,24,10884.0,6
10,24,6773.0,7
11,24,7482.0,1
12,24,12294.0,2
13,24,11610.0,3
14,24,12535.0,4
15,24,10347.0,5
16,24,11652.0,6
17,24,6742.0,7
18,24,7184.0,1
19,24,12841.0,2
20,24,11135.0,3
21,24,11185.0,4
22,24,12474.0,5
23,24,12299.0,6
24,24,7122.0,7
25,24,6695.0,1
26,24,14330.0,2
27,24,12793.95,3
28,24,14890.0,4
29,24,11748.0,5
30,24,12970.5,6
31,24,6690.0,7
32,24,6680.0,1
33,24,7200.0,2
34,24,13042.0,3
35,24,13925.0,4
36,24,14701.0,5
37,24,12549.0,6
38,24,6624.0,7
39,24,7156.0,1
40,24,12121.0,2
41,24,13293.0,3
42,24,14884.0,4
43,24,11800.0,5
44,24,11970.0,6
45,24,6633.0,7
46,24,6698.0,1
47,24,14951.0,2
48,24,14168.0,3
49,24,12372.0,4
50,24,12630.0,5
51,24,8532.0,6
52,24,3956.0,7
53,24,4482.0,1
54,24,12315.0,2
55,24,11878.0,3
56,24,15094.0,4
57,24,14952.0,5
58,24,12717.5,6
59,24,7139.0,7
60,24,7498.0,1
61,24,14454.0,2
62,24,13782.0,3
63,24,14192.0,4
64,24,14372.0,5
65,24,12396.0,6
66,24,7552.0,7
67,24,7280.0,1
68,24,8988.0,2
69,24,12930.0,3
70,24,14887.0,4
71,24,11530.0,5
72,24,13508.0,6
73,24,6525.0,7
74,24,6634.0,1
75,24,12377.0,2
76,24,15023.0,3
77,24,15743.0,4
78,24,15550.0,5
79,24,12465.0,6
80,24,6801.0,7
81,24,7164.0,1
82,24,15119.0,2
83,24,14578.0,3
84,24,16446.0,4
85,24,16067.0,5
86,24,15979.0,6
87,24,8333.0,7
88,24,7978.0,1
89,24,13408.0,2
90,24,15574.0,3
91,24,14513.0,4
92,24,14621.0,5
93,24,12294.0,6
94,24,7943.0,7
95,24,9170.0,1
96,24,13708.0,2
97,24,12821.0,3
98,24,17812.0,4
99,24,18533.0,5
100,24,14351.0,6
101,24,9794.0,7
102,24,10764.0,1
103,24,11866.0,2
104,24,14821.0,3
105,24,17679.5,4
106,24,16153.0,5
107,24,14300.0,6
108,24,9324.0,7
109,24,9806.0,1
110,24,15040.0,2
111,24,13361.0,3
112,24,14284.0,4
113,24,16137.0,5
114,24,14835.0,6
115,24,9323.0,7
116,24,7442.0,1
117,24,13703.0,2
118,24,16916.0,3
119,24,18789.0,4
120,24,15243.0,5
121,24,15438.0,6
122,24,10697.0,7
